Left Controller Velocity,Left Controller Position X,Left Controller Position Y,Left Controller Position Z,Left Controller Rotation X,Left Controller Rotation Y,Left Controller Rotation Z
0.3356745,-0.530303,0.8076825,0.4176241,322.3943,329.3411,68.28043
0.3356745,-0.529438,0.8050282,0.4202689,323.6439,330.2023,66.92226
0.3356745,-0.5075285,0.7932501,0.4355364,326.3296,341.8002,57.88424
0.3356745,-0.4953806,0.7877166,0.4384369,327.7624,346.5979,53.02787
0.3356745,-0.4964893,0.7885472,0.4373618,327.368,345.4973,53.71774
0.3356745,-0.5107906,0.7912811,0.4340339,327.1684,338.7623,57.58834
0.3356745,-0.5348299,0.7972,0.4250709,326.4449,327.8245,65.97997
0.3356745,-0.5366102,0.7981554,0.4245999,326.4812,327.5431,66.43105
0.3356745,-0.5354049,0.798521,0.4247528,326.5375,328.4795,65.98177
0.3356745,-0.5352854,0.7971811,0.4255983,327.1021,328.8414,65.69
0.3356745,-0.5344288,0.7971152,0.4257528,327.183,329.006,65.41005
0.3356745,-0.5336035,0.7969717,0.4259277,326.9879,329.173,65.6063
0.3356745,-0.5329288,0.7969591,0.4263373,326.7321,329.6255,65.54339
0.3356745,-0.5326676,0.7973382,0.4259821,326.7096,330.0329,65.79461
0.3356745,-0.5319588,0.797625,0.4259667,326.4796,329.9655,66.10176
0.3356745,-0.5319638,0.7973797,0.4259893,326.6334,330.0734,66.03226
0.3356745,-0.5323944,0.7980258,0.4256472,326.5617,329.994,66.19793
0.3356745,-0.5322626,0.7981142,0.4257044,326.5322,330.0267,66.3631
0.3356745,-0.5322183,0.7980387,0.4257614,326.5438,330.0994,66.29831
0.3356745,-0.5320178,0.798003,0.4259919,326.5826,330.2725,66.35587
0.3356745,-0.5319659,0.798252,0.4257742,326.4098,330.2543,66.39742
0.3356745,-0.5317701,0.7982191,0.4257661,326.4247,330.3699,66.27557
0.3356745,-0.5289439,0.7948579,0.4292227,327.5991,332.406,64.29123
0.3356745,-0.50688,0.7964718,0.4304156,325.5525,340.2034,61.26493
0.3356745,-0.5110735,0.7986813,0.4285144,324.2933,337.9437,61.79638
0.3356745,-0.5114652,0.8119053,0.4153193,315.974,335.746,61.93896
0.3356745,-0.5132333,0.8358091,0.4023294,306.6471,332.762,58.04964
0.3356745,-0.5269493,0.8943569,0.3701774,291.9095,320.2186,60.48003
0.3356745,-0.5666166,0.929623,0.341061,289.3946,302.9687,73.70145
0.3356745,-0.5660886,0.9262449,0.3462172,291.8086,307.8281,69.90019
0.3356745,-0.5715871,0.9316366,0.3443879,290.4503,305.1096,70.42928
0.3356745,-0.620208,0.9469141,0.3332669,295.9625,293.2585,84.56244
0.3356745,-0.6383486,0.9605219,0.3241904,295.3047,280.5098,91.80025
0.3356745,-0.6329528,0.9624121,0.3296679,292.5801,286.1922,80.91475
0.3356745,-0.6444464,0.9846933,0.3269362,291.1574,280.0319,84.67886
0.3356745,-0.6378773,1.032409,0.3314303,283.2946,272.6336,87.66093
0.3356745,-0.6401039,1.069032,0.3244811,280.7892,250.0046,108.9667
0.7651601,-0.5459749,1.10029,0.4669509,287.2419,57.14384,285.6187
0.7651601,-0.4231698,1.060548,0.5551314,309.4073,76.22246,247.5738
0.7651601,-0.3991871,0.9962436,0.6276239,316.7575,64.88151,248.9352
0.7651601,-0.4256431,1.125452,0.5616533,303.0006,80.83046,238.0677
0.7651601,-0.4009634,1.096382,0.5099075,306.7671,88.97723,233.1196
0.7651601,-0.3627955,1.03778,0.4722686,315.3787,93.09042,228.9465
0.7651601,-0.3617885,1.048147,0.4630234,315.025,95.0445,227.014
0.7651601,-0.3179045,1.009983,0.4621892,324.7977,95.41837,222.2211
0.7651601,-0.2650302,0.9388081,0.5106617,330.1609,88.43054,228.9858
0.7651601,-0.2549413,0.9273115,0.5249594,335.0388,85.73798,228.1951
